ParkName,Latitude,Longitude
Grand Teton NP,43.826,-110.686
Grant-Kohrs Ranch NHS,46.414,-112.747
Great Basin NP,38.927,-114.244
Great Sand Dunes NP & PRES,37.767,-105.613
Great Smoky Mountains NP,35.622,-83.498
Greenbelt Park,38.984,-76.898
Guadalupe Mountains NP,31.907,-104.901
Guilford Courthouse NMP,36.131,-79.843
Gulf Islands NS,30.355,-87.018
Hagerman Fossil Beds NM,42.813,-114.94
Haleakala NP,20.699,-156.133
Hamilton Grange NMEM,40.821,-73.947
Hampton NHS,39.416,-76.589
Harpers Ferry NHP,39.312,-77.742
Harry S Truman NHS,38.901,-94.531
Hawaii Volcanoes NP,19.303,-155.24
Herbert Hoover NHS,41.668,-91.352
Home of Franklin D. Roosevelt NHS,41.765,-73.926
Homestead NHP,40.289,-96.832
Hopewell Culture NHP,39.279,-83.135
Hopewell Furnace NHS,40.211,-75.766
Horseshoe Bend NMP,32.974,-85.732
Hot Springs NP,34.529,-93.03
Hovenweep NM,37.384,-109.073
Hubbell Trading Post NHS,35.707,-109.56
Independence NHP,39.952,-75.149
Indiana Dunes NP,41.66,-87.033
Isle Royale NP,48.031,-88.807
James A. Garfield NHS,41.665,-81.351
Jean Lafitte NHP & PRES,29.807,-90.142
Jewel Cave NM,43.731,-103.832
Jimmy Carter NHP,32.027,-84.432
"John D. Rockefeller, Jr. MEM PKWY",44.088,-110.723
John Day Fossil Beds NM,44.538,-119.648
John F. Kennedy NHS,42.347,-71.123
John Muir NHS,37.983,-122.132
Johnstown Flood NMEM,40.347,-78.774
Joshua Tree NP,33.899,-115.953
Kalaupapa NHP,21.192,-156.956
Kaloko Honokohau NHP,19.678,-156.031
Katahdin Woods and Waters NM,45.946,-68.692
Katmai NP & PRES,58.51,-155.083
Kenai Fjords NP,59.809,-150.247
Kennesaw Mountain NBP,33.924,-84.589
Keweenaw NHP,47.139,-88.569
Kings Canyon NP,36.875,-118.594
Kings Mountain NMP,35.138,-81.389
Klondike Gold Rush NHP Alaska,59.632,-135.293
Knife River Indian Villages NHS,47.353,-101.384
Kobuk Valley NP,67.396,-159.063
Korean War Veterans Memorial,38.888,-77.048
Lake Chelan NRA,48.349,-120.69
Lake Clark NP & PRES,60.589,-153.262
Lake Mead NRA,36.245,-114.381
Lake Meredith NRA,35.601,-101.709
Lake Roosevelt NRA,47.911,-118.351
Lassen Volcanic NP,40.497,-121.405
Lava Beds NM,41.762,-121.521
Lewis & Clark NHP,46.287,-124.066
Lincoln Boyhood NMEM,38.119,-86.997
Lincoln Home NHS,39.797,-89.645
Lincoln Memorial,38.889,-77.05
Little Bighorn Battlefield NM,45.565,-107.428
Little River Canyon NPRES,34.396,-85.617
Little Rock Central High School NHS,34.737,-92.3
Longfellow House Washington's HQ NHS,42.377,-71.126
Lowell NHP,42.645,-71.312
Lyndon B. Johnson NHP,30.252,-98.625
Maggie L. Walker NHS,37.547,-77.437
Mammoth Cave NP,37.184,-86.123
Manassas NBP,38.822,-77.531
Manhattan Project NHP,35.936,-84.393
Manzanar NHS,36.727,-118.153
Marsh-Billings-Rockefeller NHP,43.633,-72.534
"Martin Luther King, Jr. Memorial",38.886,-77.044
"Martin Luther King, Jr. NHP",33.755,-84.372
Martin Van Buren NHS,42.368,-73.714
Mary McLeod Bethune Council House NHS,38.908,-77.031
Medgar and Myrlie Evers Home NM,32.341,-90.214
Mesa Verde NP,37.254,-108.456
Minidoka NHS,42.681,-114.249
Minute Man NHP,42.455,-71.3
Minuteman Missile NHS,43.845,-101.901
Mississippi NRRA,44.915,-93.128
Missouri NRR,42.733,-96.908
Mojave NPRES,35.097,-115.539
Monocacy NB,39.361,-77.393
Montezuma Castle NM,34.613,-111.837
Moores Creek NB,34.458,-78.11
Morristown NHP,40.768,-74.537
Mount Rainier NP,46.855,-121.706
Mount Rushmore NMEM,43.88,-103.454
Muir Woods NM,37.896,-122.58
Natchez NHP,31.542,-91.382
Natchez Trace PKWY,32.871,-89.655
