RecreationVisits,RecreationHours,TentCampers,RVCampers,BackcountryCampers,Campers,Clusters,Cluster Color
26653,80743,335,356,1142,1833,0,peach
10323,37919,248,30,382,660,0,peach
6008,11007,0,0,0,0,0,peach
6962,14741,0,0,6,6,0,peach
4017,8964,0,0,0,0,0,peach
8660,23084,0,0,274,274,0,peach
14991,84801,165,351,2027,2543,0,peach
42235,349943,2787,3246,7096,13129,0,peach
70251,456977,3314,2502,9455,15271,0,peach
68362,364880,4448,3370,3697,11515,0,peach
63472,345125,2177,2740,3280,8197,0,peach
41103,215006,2127,3312,2117,7556,0,peach
24750,79826,578,599,867,2044,0,peach
10289,36787,578,78,220,876,0,peach
4468,8846,5,11,29,45,0,peach
495,11535,20,0,0,20,0,peach
527,10038,86,0,0,86,0,peach
845,19290,141,0,0,141,0,peach
966,24474,188,0,0,188,0,peach
1479,45813,675,0,0,675,0,peach
1267,40560,237,0,0,237,0,peach
891,27807,464,0,0,464,0,peach
802,18873,102,0,0,102,0,peach
216,4284,31,0,0,31,0,peach
477,4194,29,0,0,29,0,peach
532,12579,71,0,0,71,0,peach
579,10455,64,0,0,64,0,peach
708,14124,94,0,0,94,0,peach
692,14088,125,0,0,125,0,peach
832,21963,271,0,0,271,0,peach
1171,30798,318,0,0,318,0,peach
1093,37908,258,0,0,258,0,peach
1078,37227,179,0,0,179,0,peach
1040,25542,115,0,0,115,0,peach
647,15888,135,0,0,135,0,peach
285,4977,21,0,0,21,0,peach
425,8760,0,0,0,0,0,peach
267,8454,40,0,0,40,0,peach
406,2550,21,0,0,21,0,peach
631,4521,66,0,0,66,0,peach
732,5742,38,0,0,38,0,peach
1194,24426,352,0,0,352,0,peach
1298,33300,186,0,0,186,0,peach
1585,52959,428,0,0,428,0,peach
1205,40587,444,0,0,444,0,peach
1025,33213,199,0,0,199,0,peach
668,23367,285,0,0,285,0,peach
419,12183,48,0,0,48,0,peach
465,8850,13,0,0,13,0,peach
405,12408,48,0,0,48,0,peach
523,9735,54,0,0,54,0,peach
797,18681,138,0,0,138,0,peach
1168,21159,37,0,0,37,0,peach
1288,25916,205,0,0,205,0,peach
1371,33861,275,0,0,275,0,peach
1449,43578,362,0,0,362,0,peach
703,25065,143,0,0,143,0,peach
885,26856,361,0,0,361,0,peach
807,21639,205,0,0,205,0,peach
544,13250,118,0,0,118,0,peach
586,20643,69,0,0,69,0,peach
483,13860,78,0,0,78,0,peach
619,13251,66,0,0,66,0,peach
491,11064,78,0,0,78,0,peach
746,13062,18,0,0,18,0,peach
932,20148,197,0,0,197,0,peach
1424,25242,177,0,0,177,0,peach
2076,52899,504,0,0,504,0,peach
1236,26619,161,0,0,161,0,peach
1072,23772,272,0,0,272,0,peach
736,21405,145,0,0,145,0,peach
585,10644,46,0,0,46,0,peach
637,14127,19,0,0,19,0,peach
481,10938,42,0,0,42,0,peach
588,12585,24,0,0,24,0,peach
508,11640,2,0,0,2,0,peach
721,11982,23,0,0,23,0,peach
1211,26316,303,0,0,303,0,peach
1399,31647,541,0,0,541,0,peach
1782,52062,743,0,0,743,0,peach
1172,31242,164,0,0,164,0,peach
1086,23148,217,0,0,217,0,peach
937,16332,69,0,0,69,0,peach
648,13554,91,0,0,91,0,peach
840,16983,122,0,0,122,0,peach
598,11469,40,0,0,40,0,peach
998,19419,69,0,0,69,0,peach
857,12972,32,0,0,32,0,peach
1001,16215,60,0,0,60,0,peach
1701,35217,220,0,0,220,0,peach
1515,37656,443,0,0,443,0,peach
1704,46704,749,0,0,749,0,peach
1131,28020,191,0,0,191,0,peach
1199,27543,135,0,0,135,0,peach
1294,24468,34,0,0,34,0,peach
505,7116,43,0,0,43,0,peach
796,13077,12,0,0,12,0,peach
741,16251,35,0,0,35,0,peach
769,11016,34,0,0,34,0,peach
919,15282,72,0,0,72,0,peach
994,14184,62,0,0,62,0,peach
1599,30234,291,0,0,291,0,peach
1958,44502,480,0,0,480,0,peach
1841,53055,924,0,0,924,0,peach
2143,57417,449,0,0,449,0,peach
1477,31299,105,0,0,105,0,peach
1288,23889,107,0,0,107,0,peach
714,12057,48,0,0,48,0,peach
805,14160,21,0,0,21,0,peach
974,17118,55,0,0,55,0,peach
667,9735,70,0,0,70,0,peach
836,13632,41,0,0,41,0,peach
1158,17169,131,0,0,131,0,peach
1362,23973,154,0,0,154,0,peach
1907,37470,249,0,0,249,0,peach
2346,58788,616,0,0,616,0,peach
1393,35846,238,0,0,238,0,peach
3001,48258,145,0,0,145,0,peach
1555,37098,124,0,0,124,0,peach
1011,20460,41,0,0,41,0,peach
453,11541,19,0,0,19,0,peach
750,18000,0,0,0,0,0,peach
543,14874,173,0,0,173,0,peach
621,13566,6,0,0,6,0,peach
1028,13800,10,0,0,10,0,peach
1547,27045,32,0,0,32,0,peach
2519,53910,512,0,0,512,0,peach
2209,71298,1044,0,0,1044,0,peach
1426,31170,248,0,0,248,0,peach
1949,49053,226,0,0,226,0,peach
2039,40935,61,0,0,61,0,peach
813,13536,26,0,0,26,0,peach
679,16929,28,0,0,28,0,peach
981,16098,39,0,0,39,0,peach
1126,16725,60,0,0,60,0,peach
1386,21099,47,0,0,47,0,peach
993,16200,61,0,0,61,0,peach
2020,35427,130,0,0,130,0,peach
2406,51822,233,0,0,233,0,peach
2512,77571,1168,0,0,1168,0,peach
1894,49584,445,0,0,445,0,peach
1842,36957,47,0,0,47,0,peach
2086,42774,42,0,0,42,0,peach
1048,17928,84,0,0,84,0,peach
1193,19176,20,0,0,20,0,peach
1234,19248,20,0,0,20,0,peach
827,10017,84,0,0,84,0,peach
1282,22025,66,0,0,66,0,peach
1139,16461,33,0,0,33,0,peach
1371,21555,32,0,0,32,0,peach
2061,61182,458,0,0,458,0,peach
2913,85914,1260,0,0,1260,0,peach
2006,57858,438,0,0,438,0,peach
1996,44604,248,0,0,248,0,peach
2173,46365,125,0,0,125,0,peach
1239,25719,32,0,0,32,0,peach
1198,22566,53,0,0,53,0,peach
1145,25464,60,0,0,60,0,peach
879,15411,17,0,0,17,0,peach
1589,30396,223,0,0,223,0,peach
1846,34209,175,0,0,175,0,peach
1410,28134,83,0,0,83,0,peach
1894,50544,192,0,0,192,0,peach
2509,79818,641,0,0,641,0,peach
2127,65436,550,0,0,550,0,peach
1713,45993,148,0,0,148,0,peach
1600,39279,43,0,0,43,0,peach
1138,27942,88,0,0,88,0,peach
798,18294,8,0,0,8,0,peach
